Business ID,Business Type,Date,Season,Weather,Location,Revenue,Profit,Growth Rate,Num Employees,GDP Growth,Inflation,Unemployment,Marketing Spend,Customer Rating,Tech Adoption,Sentiment Score
37693,Cyber Cafe,2021-10-13 14:12:07.454899,Autumn,Pleasant,Mumbai,118053,11293,0.041,33,0.031,0.038,0.074,3720,3.2,High,0.45
3896,Tech Shop,2021-10-13 14:17:33.898201,Autumn,Pleasant,Bangalore,82261,14986,0.042,28,0.032,0.033,0.058,5830,3.6,Low,0.75
45236,Ice Cream Parlor,2021-10-13 14:44:44.640293,Autumn,Windy,Chennai,491952,55052,0.13,45,0.019,0.047,0.044,6796,5.0,High,0.5
13714,Pharmacy,2021-10-13 14:59:47.599145,Autumn,Mild,Pune,136962,18745,0.055,35,0.023,0.053,0.046,11621,4.3,Medium,0.82
41264,Jewelry Store,2021-10-13 15:10:55.044914,Autumn,Windy,Patna,350575,53787,0.116,33,0.045,0.033,0.073,10127,4.1,High,0.63
24487,Jewelry Store,2021-10-13 15:15:32.238147,Autumn,Pleasant,Lucknow,108728,10745,0.156,22,0.019,0.031,0.062,5595,3.4,Medium,0.39
10312,Photo Studio,2021-10-13 15:19:10.904869,Autumn,Pleasant,Indore,341822,57560,0.041,47,0.034,0.021,0.038,13659,3.7,High,0.79
11987,Ice Cream Parlor,2021-10-13 15:30:52.250778,Autumn,Pleasant,Chennai,98849,10749,0.025,25,0.045,0.05,0.076,8646,4.8,Low,0.53
16048,Flower Shop,2021-10-13 15:37:49.156981,Autumn,Mild,Bangalore,296026,31387,0.085,47,0.026,0.035,0.046,28935,3.6,Medium,0.77
49893,Mobile Repair Shop,2021-10-13 16:25:21.369018,Autumn,Pleasant,Hyderabad,336664,34198,0.14,10,0.013,0.029,0.03,14124,3.1,Low,0.92
9089,Vegetable Vendor,2021-10-13 16:50:46.707063,Autumn,Mild,Jaipur,123911,16301,0.014,4,0.047,0.029,0.056,12221,3.9,Low,0.89
10717,Cyber Cafe,2021-10-13 17:20:39.030817,Autumn,Pleasant,Kanpur,412203,65177,0.101,43,0.041,0.035,0.048,5867,3.6,High,0.51
28770,Optician,2021-10-13 17:54:22.074041,Autumn,Windy,Ahmedabad,480628,44862,0.173,30,0.04,0.036,0.041,18682,3.4,Medium,0.44
11018,Hair Salon,2021-10-13 18:13:48.089358,Autumn,Windy,Patna,295752,61104,0.126,4,0.03,0.03,0.07,7111,3.0,High,0.66
44935,Dry Cleaning Service,2021-10-13 18:59:26.596770,Autumn,Mild,Lucknow,441069,39606,0.086,2,0.012,0.03,0.061,17130,3.3,Medium,0.9
135,Vegetable Vendor,2021-10-13 19:35:48.259281,Autumn,Mild,Lucknow,465859,39319,0.037,36,0.011,0.023,0.075,9820,4.1,Low,0.84
9445,Toy Shop,2021-10-13 19:41:04.760407,Autumn,Pleasant,Jaipur,423552,75459,0.034,29,0.038,0.022,0.03,10443,3.4,High,0.63
